ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,Country,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysProfessional use,OpSysPersonal use,VersionControlSystem,VCInteraction,VCHostingPersonal use,VCHostingProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,Blockchain,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Onboarding,ProfessionalTech,TrueFalse_1,TrueFalse_2,TrueFalse_3,SurveyLength,SurveyEase,ConvertedCompYearly
61,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects;Bootstrapping a business;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Coding sessions (live or recorded)",,17,4,"Developer, front-end;Developer, full-stack;Developer, back-end;Engineering manager;Database administrator;Developer, game or graphics;Project manager;Cloud infrastructure engineer;Designer;Product manager;Senior Executive (C-Suite, VP, etc.);System administrator",2 to 9 employees,I have a great deal of influence,Visit developer communities like Stack Overflow;Ask developers I know/work with,Canada,CAD	Canadian dollar,85000.0,Yearly,Bash/Shell;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;TypeScript,Bash/Shell;HTML/CSS;JavaScript;Kotlin;Python;Rust;TypeScript,DynamoDB;Elasticsearch;MariaDB;MongoDB;PostgreSQL;Redis,DynamoDB,AWS;Google Cloud;OpenStack,AWS,FastAPI;Node.js;React.js;Vue.js,FastAPI;Node.js;React.js;Vue.js,.NET;Capacitor;Cordova;Electron;Ionic,,Ansible;Docker;Kubernetes;npm;Terraform;Unity 3D;Unreal Engine;Yarn,Docker;Kubernetes;npm;Unreal Engine,Android Studio;Atom;CLion;GoLand;IntelliJ;Nano;Notepad++;PhpStorm;PyCharm;Rider;Visual Studio;Visual Studio Code;Webstorm,IntelliJ;Notepad++;PyCharm;Visual Studio Code;Webstorm,Linux-based,Windows,Git,Code editor;Command-line;Version control hosting service web GUI,,,Asana;Confluence;Jira Work Management,Confluence;Jira Work Management,Google Chat;Microsoft Teams;Slack;Zoom,Slack;Zoom,Very unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,White;North American,None of the above,None of the above,Yes,Independent contributor,4.0,Agree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,1-2 times a week,1-2 times a week,Never,30-60 minutes a day,30-60 minutes a day,Somewhat long,Microservices;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools,Yes,Yes,Yes,Appropriate in length,Neither easy nor difficult,66372.0
62,I code primarily as a hobby,"Student, part-time;Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Freelance/contract work,Some college/university study without earning a degree,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification;Coding Bootcamp;Colleague;Other (please specify):",Technical documentation;Stack Overflow;Online books;How-to videos,Coursera,2,,"Data scientist or machine learning specialist;Developer, back-end;Developer, desktop or enterprise applications;Student;Database administrator;Academic researcher;Data or business analyst;Designer;System administrator",,,Visit developer communities like Stack Overflow,Mexico,,,,Bash/Shell;HTML/CSS;Python,Assembly;Dart;Rust;Solidity;SQL,PostgreSQL,Redis;SQLite,Heroku,AWS;Firebase;Google Cloud;Linode;OpenStack,Flask,,NumPy;Pandas;Scikit-learn,Flutter,Docker;Puppet,Yarn,Vim;Visual Studio Code,,Linux-based,Linux-based,Git,Command-line,,,,,Cisco Webex Teams;Zoom,Zoom,Favorable,I have never visited Stack Overflow or the Stack Exchange network,,Yes,Less than once per month or monthly,Neutral,25-34 years old,Man,No,Straight / Heterosexual,Central American,,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
63,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Bootstrapping a business,"Professional degree (JD, MD, etc.)","Friend or family member;Other online resources (e.g., videos, blogs, forum)",Technical documentation;Blogs;Programming Games;Written Tutorials;Stack Overflow;Video-based Online Courses;Interactive tutorial,,14,14,"Developer, back-end;Designer",I don’t know,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,France,EUR European Euro,70000.0,Yearly,Groovy;Java;Kotlin,Java;Kotlin,Cassandra;Couchbase;MariaDB;MySQL;PostgreSQL;SQLite,PostgreSQL;SQLite,OVH,OVH,,,Apache Kafka;Spring,,Docker;Kubernetes;npm,Docker;Kubernetes;npm,Android Studio;IntelliJ;Webstorm,Android Studio;IntelliJ;Webstorm,Linux-based,Linux-based;macOS,Git,Code editor,,,Confluence;Jira Work Management,Confluence;Jira Work Management,Microsoft Teams;Slack;Zoom,Microsoft Teams;Slack;Zoom,Indifferent,Stack Overflow;Stack Exchange,,Yes,A few times per week,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,European,None of the above,None of the above,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,74651.0
64,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","School (i.e., University, College, etc);Other (please specify):",,,18,12,"Developer, front-end;Developer, full-stack;Developer, embedded applications or devices;Designer",500 to 999 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,United States of America,USD	United States dollar,150000.0,Yearly,Bash/Shell;C;Go;HTML/CSS;Java;JavaScript;Python;Swift;TypeScript,HTML/CSS;JavaScript;Python;Rust;TypeScript,Cloud Firestore;MongoDB;MySQL;PostgreSQL;Redis;SQLite,PostgreSQL;SQLite,Firebase;Google Cloud;Heroku,,Express;Flask;Next.js;Node.js;Vue.js,Node.js;Svelte;Vue.js,,,Docker;Homebrew;npm,,Visual Studio Code;Xcode,Visual Studio Code,macOS,Linux-based;macOS,Git,Command-line;Dedicated version control GUI application,,,Airtable;Notion,Airtable,Slack;Zoom,Slack,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",35-44 years old,Man,No,Straight / Heterosexual,White;North American,None of the above,None of the above,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,150000.0
65,I am a developer by profession,"Student, full-time",,,"Associate degree (A.A., A.S., etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Online forum;How-to videos;Written-based Online Courses,,7,,,,,Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,France,,,,C;C#;HTML/CSS;Java;JavaScript;PHP;R,C#;Erlang;Haskell;Rust,MySQL;Oracle,Elasticsearch;Redis,,,Node.js;Vue.js,ASP.NET Core ;Blazor;Nuxt.js;Vue.js,.NET,.NET;Apache Kafka;Flutter;Spring;Xamarin,Unity 3D,Ansible;Chef;Docker;Unity 3D;Unreal Engine,Android Studio;CLion;IntelliJ;Notepad++;PhpStorm;PyCharm;Rider;RStudio;Webstorm,Android Studio;CLion;IntelliJ;Notepad++;PhpStorm;PyCharm;Rider;Webstorm,Windows;Windows Subsystem for Linux (WSL),Windows;Windows Subsystem for Linux (WSL),Git;Other (please specify):,Code editor;Command-line;Version control hosting service web GUI,,,Notion,Notion,Microsoft Teams,,Indifferent,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"No, not really",18-24 years old,Man,No,Straight / Heterosexual,White;European;North African,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Too short,Easy,
66,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Other (please specify):,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);Online Courses or Certification",Stack Overflow;Video-based Online Courses;Interactive tutorial,Udemy,3,2,"Developer, back-end;DevOps specialist","10,000 or more employees",I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,India,INR	Indian rupee,,Monthly,C#,C++;JavaScript,MongoDB;MySQL,,,,,,.NET,.NET;React Native;TensorFlow,,,Eclipse;Notepad++;Sublime Text;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows,Linux-based,Git,Code editor;Command-line,,,Jira Work Management,Jira Work Management,Cisco Webex Teams;Microsoft Teams;Zoom,Microsoft Teams,Unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,Not sure/can't remember,,"Yes, somewhat",18-24 years old,Man,No,Straight / Heterosexual,Indian,None of the above,None of the above,Yes,Independent contributor,2.0,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Agree,Never,1-2 times a week,3-5 times a week,30-60 minutes a day,15-30 minutes a day,Just right,Microservices;Continuous integration (CI) and (more often) continuous delivery,No,Yes,Yes,Too long,Easy,
67,I am a developer by profession,"Employed, full-time",Full in-person,Bootstrapping a business,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","School (i.e., University, College, etc);Colleague",,,25,20,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications","1,000 to 4,999 employees",I have some influence,Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd,Brazil,BRL	Brazilian real,10000.0,Monthly,C;C++;Delphi;HTML/CSS;Java;JavaScript,HTML/CSS;Java,IBM DB2;MariaDB;Microsoft SQL Server;MySQL,IBM DB2;MariaDB;Microsoft SQL Server;MySQL,AWS,AWS,jQuery,,,,,,Eclipse,Eclipse,Windows,Windows,SVN,Version control hosting service web GUI,,,,,Microsoft Teams,Microsoft Teams,Favorable,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,45-54 years old,Man,No,Straight / Heterosexual,Hispanic or Latino/a,None of the above,None of the above,Yes,Independent contributor,20.0,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,6-10 times a week,6-10 times a week,6-10 times a week,60-120 minutes a day,30-60 minutes a day,Very long,None of these,Yes,No,Yes,Appropriate in length,Easy,24924.0
68,I am a developer by profession,"Not employed, but looking for work",,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Colleague",Stack Overflow;Online forum;How-to videos;Written-based Online Courses;Interactive tutorial;Coding sessions (live or recorded),,26,,"Developer, full-stack;Developer, back-end;Developer, QA or test;DevOps specialist",,,Start a free trial;Read ratings or reviews on third party sites like G2Crowd,Australia,,,,C#;HTML/CSS;JavaScript;PHP;SQL,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server;MySQL,Microsoft SQL Server;MySQL,AWS;Firebase;Google Cloud;VMware,AWS;Firebase;Google Cloud;Microsoft Azure;VMware,ASP.NET;jQuery;Node.js,ASP.NET;ASP.NET Core ;Next.js;Node.js;React.js,.NET;React Native,.NET;React Native,Docker;npm;Terraform,Docker;npm,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Linux-based;macOS;Windows,macOS;Windows,Git,Code editor;Version control hosting service web GUI,,,Confluence;Jira Work Management;Trello,Trello,Google Chat;Microsoft Teams;Slack;Zoom,Google Chat;Slack;Zoom,Favorable,Stack Overflow,A few times per week,No,,"Yes, definitely",45-54 years old,Man,No,Prefer not to say,White,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Too long,Neither easy nor difficult,
69,I am a developer by profession,"Student, part-time;Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Freelance/contract work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum);On the job training",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online forum;Written-based Online Courses,,3,,"Developer, back-end;Blockchain",,,Visit developer communities like Stack Overflow;Ask developers I know/work with,Lithuania,,,,C++;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,C#;C++;PowerShell;Python;Rust,MySQL;PostgreSQL;SQLite,,AWS,,Django;Laravel,Laravel,,,Docker;npm;Yarn,Docker,Notepad++;Visual Studio Code,Visual Studio Code,Linux-based;Windows;Windows Subsystem for Linux (WSL),Windows;Windows Subsystem for Linux (WSL),Git,Code editor;Command-line,,,,,Google Chat;Microsoft Teams;Zoom,Google Chat,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,Under 18 years old,Man,No,Straight / Heterosexual,European,None of the above,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
70,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Some college/university study without earning a degree,"Books / Physical media;School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague",,Coursera;Udemy;edX,17,15,"Developer, back-end;Cloud infrastructure engineer;Designer",20 to 99 employees,I have a great deal of influence,Start a free trial;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,Uruguay,UYU	Uruguayan peso,130000.0,Monthly,Bash/Shell;HTML/CSS;Java;JavaScript;SQL;TypeScript,Java;SQL;TypeScript,MongoDB;MySQL;Oracle;PostgreSQL;SQLite,Cassandra;Elasticsearch;MongoDB;Redis,DigitalOcean,AWS;Google Cloud,jQuery,Angular.js;React.js;Vue.js,Apache Kafka;Apache Spark;Spring,Apache Kafka;Spring;TensorFlow,Docker;Kubernetes;Puppet,Docker;Kubernetes;Terraform,Eclipse;GoLand;IntelliJ;Sublime Text,IntelliJ,Linux-based,Linux-based,Git,Dedicated version control GUI application,,,,,Google Chat;Microsoft Teams;Slack,Google Chat;Slack,Indifferent,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not at all",35-44 years old,Man,No,Straight / Heterosexual,European,,"I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Yes,Independent contributor,15.0,Strongly agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Never,3-5 times a week,Never,30-60 minutes a day,60-120 minutes a day,Very long,DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery,No,No,No,Appropriate in length,Neither easy nor difficult,38808.0
71,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification;Coding Bootcamp",Technical documentation;Written Tutorials;Stack Overflow;Online forum,Udemy;Other,4,3,"Developer, mobile",10 to 19 employees,I have some influence,Start a free trial,Serbia,RSD	Serbian dinar,,,Java;Kotlin;PHP,,MySQL;SQLite,Cloud Firestore;Firebase Realtime Database,Firebase;Google Cloud,AWS,Drupal;jQuery;Symfony,,,,,,Android Studio;IntelliJ,,,macOS,Git,Dedicated version control GUI application,,,,,Slack,,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,25-34 years old,Woman,No,Straight / Heterosexual,Prefer not to say,None of the above,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,Too long,Neither easy nor difficult,
72,I am a developer by profession,"Student, full-time;Employed, part-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Hackathons (virtual or in-person)",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;How-to videos;Interactive tutorial;Coding sessions (live or recorded),Pluralsight,5,,"Student;DevOps specialist;Developer, embedded applications or devices",,,Start a free trial,Poland,,,,Bash/Shell;C;F#;Groovy;JavaScript;Python,Bash/Shell;C;Groovy;JavaScript;Python,,,Google Cloud,AWS;Google Cloud,Django;React.js;Vue.js,Django,,,Docker;Kubernetes;npm;Yarn,Ansible;Docker;Kubernetes;Terraform,Atom;CLion;Neovim;PyCharm;Vim;Visual Studio Code,Neovim;Visual Studio Code,Linux-based;Windows,Linux-based,Git,Command-line,,,Jira Work Management;Trello,,Microsoft Teams,Microsoft Teams;Slack,Favorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",18-24 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
73,"I used to be a developer by profession, but no longer am","Employed, full-time",Fully remote,I don’t code outside of work,"Associate degree (A.A., A.S., etc.)",Books / Physical media;Friend or family member,,,24,22,Other (please specify):,,,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,United States of America,,,,Java;SQL,Java;JavaScript;SQL,Microsoft SQL Server;MongoDB;Redis,Elasticsearch;Microsoft SQL Server;MongoDB;Neo4j;Redis,Google Cloud;Microsoft Azure;VMware,AWS;Google Cloud,,,Apache Kafka;Spring,Apache Kafka;Apache Spark;Spring,,,IntelliJ,IntelliJ;Sublime Text,Linux-based;macOS,macOS;Windows,Git,Code editor;Command-line;Dedicated version control GUI application,,,Jira Work Management,Jira Work Management,Cisco Webex Teams;Microsoft Teams;Slack;Zoom,Slack,Very unfavorable,Stack Overflow,Less than once per month or monthly,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",45-54 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Yes,People manager,22.0,Strongly agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,1-2 times a week,3-5 times a week,1-2 times a week,30-60 minutes a day,Over 120 minutes a day,Somewhat long,Innersource initiative;DevOps function;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools,Yes,Yes,Yes,Appropriate in length,Easy,
74,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);On the job training","Technical documentation;Stack Overflow;Online challenges (e.g., daily or weekly coding challenges)",,10,2,"Developer, full-stack;Developer, QA or test;DevOps specialist","10,000 or more employees",I have little or no influence,Start a free trial;Ask developers I know/work with,Germany,EUR European Euro,60000.0,Yearly,Bash/Shell;HTML/CSS;JavaScript;PowerShell;Python;SQL,Bash/Shell;Go;HTML/CSS;JavaScript;Python;Rust;SQL,SQLite,SQLite,AWS;Google Cloud,AWS;Google Cloud,Flask;jQuery;Node.js;Vue.js,Flask;jQuery;Node.js;Vue.js,,,Docker;npm;Terraform;Yarn,Docker;npm;Terraform;Yarn,Vim;Visual Studio Code,Vim;Visual Studio Code,Linux-based;Windows,Windows;Windows Subsystem for Linux (WSL),Git,Command-line,,,Jira Work Management;Stack Overflow for Teams,Jira Work Management;Stack Overflow for Teams,Microsoft Teams;Slack;Zoom,Microsoft Teams;Slack;Zoom,Indifferent,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",18-24 years old,Man,No,Straight / Heterosexual,European,None of the above,None of the above,Yes,Independent contributor,5.0,Strongly agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,1-2 times a week,10+ times a week,Never,15-30 minutes a day,30-60 minutes a day,Very long,Innersource initiative;DevOps function;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools,Yes,Yes,Yes,Appropriate in length,Easy,63986.0
75,I am a developer by profession,"Employed, full-time",Full in-person,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","School (i.e., University, College, etc)",,,9,6,"Developer, full-stack",10 to 19 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Sweden,SEK	Swedish krona,41200.0,Monthly,C#;HTML/CSS;SQL;TypeScript,C#;Swift;TypeScript,Microsoft SQL Server,MongoDB,,,ASP.NET;ASP.NET Core ;Blazor,Nuxt.js;React.js;Svelte;Vue.js,.NET,Flutter;React Native,,,Rider;Visual Studio Code,Rider;Visual Studio Code;Xcode,Windows,macOS,Git,Command-line,,,Jira Work Management;monday.com,Stack Overflow for Teams,Microsoft Teams,Slack,Indifferent,Stack Overflow;Stack Exchange,A few times per month or weekly,Not sure/can't remember,,Neutral,35-44 years old,Man,No,Straight / Heterosexual,European,None of the above,None of the above,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,50220.0
76,I am a developer by profession,"Student, part-time;Employed, part-time",Fully remote,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",On the job training;Online Courses or Certification;Coding Bootcamp,,Udemy;Pluralsight,6,,"Developer, back-end;Student",,,Start a free trial;Visit developer communities like Stack Overflow,Germany,,,,Groovy;Java;Ruby,Go;Rust;TypeScript,MySQL;Oracle;Redis,MongoDB;PostgreSQL;Redis,,,Ruby on Rails,Vue.js,Spring,Spring,,,GoLand;IntelliJ;RubyMine,IntelliJ;RubyMine;Vim,macOS,Windows;Windows Subsystem for Linux (WSL),Git,Command-line;Dedicated version control GUI application,,,Confluence;Jira Work Management,Confluence;Jira Work Management,Slack;Zoom,Slack;Zoom,Unsure,Stack Overflow;Stack Exchange,Daily or almost daily,No,,Neutral,18-24 years old,Man,No,Straight / Heterosexual,White;European,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
77,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague","Technical documentation;Blogs;Programming Games;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Auditory material (e.g., podcasts);Interactive tutorial;Coding sessions (live or recorded)",Pluralsight,24,20,"Developer, back-end;Marketing or sales professional",500 to 999 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd,United States of America,USD	United States dollar,160000.0,Yearly,C#;JavaScript;Python;SQL,C#;PHP;SQL,Couchbase;Microsoft SQL Server,Couchbase,Microsoft Azure,Microsoft Azure,ASP.NET Core ,ASP.NET Core ;jQuery,.NET,.NET,Docker;Kubernetes,Docker,Notepad++;Rider;Visual Studio;Visual Studio Code,Notepad++;Rider;Visual Studio;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),Windows;Windows Subsystem for Linux (WSL),Git,Command-line;Dedicated version control GUI application,,,Airtable;Confluence;Jira Work Management,,Microsoft Teams;Slack;Zoom,Slack;Zoom,Unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Yes,Independent contributor,27.0,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Disagree,1-2 times a week,6-10 times a week,1-2 times a week,15-30 minutes a day,30-60 minutes a day,Very long,Continuous integration (CI) and (more often) continuous delivery;Automated testing,No,Yes,Yes,Appropriate in length,Easy,160000.0
78,"I used to be a developer by profession, but no longer am",Retired,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Books / Physical media;Other (please specify):,,,More than 50 years,45,,,,,United Kingdom of Great Britain and Northern Ireland,,,,Java,Java,,,,,,,,,Homebrew,,Eclipse,Eclipse,macOS,macOS,Other (please specify):,Code editor,,,,,Zoom,Zoom,Very unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",65 years or older,Man,No,Straight / Heterosexual,European,I am deaf / hard of hearing,I have an anxiety disorder,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
79,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","School (i.e., University, College, etc)",,,6,1,"Developer, full-stack",20 to 99 employees,I have little or no influence,Start a free trial;Ask developers I know/work with,Serbia,RSD	Serbian dinar,,Monthly,HTML/CSS;JavaScript;PHP,Bash/Shell;Rust,MySQL,MySQL;PostgreSQL,,,Drupal;jQuery;Symfony,Vue.js,,,Docker,Docker,PhpStorm;Vim,Neovim;PhpStorm;Vim,macOS,Windows,Git,Code editor;Command-line,,,,,Slack,Slack,Favorable,Stack Overflow,A few times per month or weekly,No,,"No, not at all",25-34 years old,Man,No,Straight / Heterosexual,Prefer not to say,None of the above,Prefer not to say,Yes,Independent contributor,1.0,Agree,Strongly disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Never,10+ times a week,Never,15-30 minutes a day,30-60 minutes a day,Just right,,No,No,Yes,Appropriate in length,Neither easy nor difficult,
80,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Hackathons (virtual or in-person)","Technical documentation;Blogs;Online books;Online challenges (e.g., daily or weekly coding challenges);Written-based Online Courses",,16,10,"Developer, back-end;Engineering manager;Database administrator;DevOps specialist;Cloud infrastructure engineer",20 to 99 employees,I have a great deal of influence,Other (please specify):;Start a free trial;Ask developers I know/work with,France,EUR European Euro,82000.0,Yearly,Bash/Shell;Clojure;Java;JavaScript;SQL,Clojure;SQL,DynamoDB;MySQL;PostgreSQL;Redis,PostgreSQL;Redis,AWS,AWS,,,Spring,,Docker;npm;Terraform,Docker;Pulumi;Terraform,Emacs,Emacs,Linux-based,Linux-based,Git,Code editor,,,Jira Work Management,,Slack,Slack,Very unfavorable,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,European;African,None of the above,Prefer not to say,Yes,People manager,10.0,Strongly agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,1-2 times a week,10+ times a week,1-2 times a week,30-60 minutes a day,60-120 minutes a day,Somewhat long,DevOps function;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools,Yes,Yes,Yes,Appropriate in length,Easy,87448.0
